"source","target","trackspeed"
"BEFBMZ","BEYFBKI","70.0"
"BERANDW","BE1903","160.0"
"BEYFBKI","BERANDO","160.0"
"BEANDL","BERANDW","160.0"
"BE1903","BE1902","160.0"
"BEYSKL","BELKD","90.0"
"BE1902","BEYSKL","160.0"
"BEFRP","BELOB","120.0"
"BEYHEIK","BERHKLC","90.0"
"BELOB","BEFTS","120.0"
"BERHKLC","BEFWBZK","120.0"
"BEFWB","BEFRP","120.0"
"BEFWBZK","BEFWB","120.0"
"BEFTS","BEFSN","120.0"
"BEYRVRT","BEYWPGM","90.0"
"BEFWO","BEYESTZ","70.0"
"BEYWPGM","BEFZZ","90.0"
"BEYESTZ","BEYRVRT","70.0"
"BEFZZ","EU00094","40.0"
"BEYESTN","BELGBG","40.0"
"BEYRVRT","BEYESTN","40.0"
"BEYWPGM","BERBZKN","40.0"
"BERBZKN","BEFZNKN","40.0"
"BEFZNKN","BEFKLDN","40.0"
"BEFDR","BEFZ","120.0"
"BEFZ","BEFLK","120.0"
"BEYLBGO","BEYLBGN","40.0"
"BEYLBGW","BEFUGW","80.0"
"BEFUGW","BEYLBGN","80.0"
"BELSD","BELWT","120.0"
"BEYBOMA","BEYMUDE","80.0"
"BEFWO","BEFMV","120.0"
"BERFWOB","BEFWO","60.0"
"BEYLBGN","BEFUGE","90.0"
"BEYMUDE","BEFWOW","80.0"
"BEFGDM","BEYBOMA","80.0"
"BEFWOW","BERFWOB","80.0"
"BELWT","BEFKLO","120.0"
"BEFMV","BELSD","120.0"
"BEFUGE","BEFGDM","90.0"
"BET017","BEYMUDE","40.0"
"BEFGZH","BET017","40.0"
"BERFWOB","BEFWOB","40.0"
"BEFWOB","BEFWO","40.0"
"BEYMUDE","BEGGDOK","40.0"
"BELSW","BEFLKO","140.0"
"BELZDD","BELZD","140.0"
"BEFCV","BEYFCVW","60.0"
"BEFSN","BELLB","140.0"
"BEYMSLE","BELM","140.0"
"BEFBR","BEFNU","140.0"
"BEYFNZD","BEFNZD","140.0"
"BELLB","BELSW","140.0"
"BEFSNO","BEFSN","106.66666666666666"
"BEYLZDF","BEYMSLE","140.0"
"BEFNU","BEFSNO","140.0"
"BEFVB","BEFOA","140.0"
"BEYFCVW","BEYFNZD","90.0"
"BEFNZD","BELZDD","140.0"
"BERML","BEFBR","140.0"
"BELM","BERML","140.0"
"BEFLK","BEFVB","140.0"
"BEFOA","BEYBNDS","110.0"
"BEFLKO","BEFLK","140.0"
